item_id,order_id,product_id,quantity,unit_price,discount
1,1,4345,2,5.19,0.0
2,1,569,1,17.9,0.0
3,1,3307,2,14.5,0.0
4,1,1289,1,18.51,0.34
5,1,1114,3,5.73,0.13
6,1,3275,2,20.88,0.0
7,2,1114,5,6.61,0.0
8,2,122,5,2.7,0.0
9,3,850,1,34.69,0.0
10,3,4456,1,35.13,0.0
11,3,1315,1,21.08,0.0
12,3,848,1,44.18,0.0
13,3,2085,1,1.34,0.0
14,4,3018,1,82.2,0.0
15,4,2780,1,191.09,0.0
16,4,4992,1,4.49,0.0
17,5,443,1,21.71,0.0
18,5,457,1,4.9,0.0
19,6,4012,2,7.67,0.0
20,6,3154,2,37.67,0.0
21,7,3756,1,19.8,0.0
22,7,889,1,6.17,0.0
23,7,1251,1,57.67,0.13
24,7,2162,2,10.92,0.0
25,7,4149,1,30.31,0.0
26,7,4919,1,53.85,0.28
27,7,3091,2,31.3,0.0
28,8,2191,1,10.39,0.0
29,8,1935,4,2.9,0.0
30,8,1897,1,28.87,0.0
31,8,4869,2,16.79,0.14
32,8,670,1,1.12,0.0
33,8,4673,1,4.45,0.0
34,9,228,1,41.43,0.0
35,9,433,1,43.16,0.0
36,10,292,2,1.16,0.0
37,10,4270,1,51.52,0.0
38,11,609,1,134.83,0.0
39,11,4846,3,129.46,0.17
40,11,3552,2,96.74,0.0
41,12,4115,1,63.96,0.26
42,12,3969,2,29.59,0.0
43,12,1102,1,3.79,0.21
44,12,2686,1,21.94,0.0
45,12,4056,1,17.17,0.28
46,12,1182,1,12.53,0.0
47,13,1806,1,4.88,0.38
48,14,3004,1,3.87,0.0
49,14,3625,1,2.55,0.0
50,14,1029,2,10.42,0.19
51,14,3818,2,20.2,0.0
52,15,3636,1,88.12,0.14
53,15,4762,1,58.79,0.0
54,16,532,1,31.62,0.0
55,16,3869,1,57.29,0.0
56,16,4599,1,6.05,0.33
57,16,3911,1,20.08,0.0
58,17,292,2,1.15,0.0
59,18,1577,1,16.01,0.0
60,18,2391,2,45.52,0.0
61,18,2750,4,22.49,0.0
62,19,2718,1,8.66,0.0
63,20,1344,1,10.82,0.0
64,20,3695,1,10.6,0.29
65,20,2085,5,1.17,0.0
66,21,4001,1,8.47,0.25
67,21,3060,1,60.73,0.27
68,21,1561,3,68.68,0.0
69,22,2560,1,71.01,0.0
70,22,4012,1,7.99,0.2
71,23,4934,1,181.18,0.29
72,23,391,2,14.85,0.0
73,23,4850,1,9.35,0.0
74,23,670,1,1.11,0.33
75,23,4827,1,14.75,0.0
76,23,3962,5,14.53,0.0
77,23,1256,1,3.88,0.0
78,24,4980,1,46.06,0.26
79,24,4988,3,35.67,0.08
80,24,1188,2,35.65,0.19
81,24,3972,1,39.86,0.0
82,24,2837,1,4.38,0.0
83,25,4329,1,238.82,0.0
84,25,2794,2,21.53,0.0
85,25,4070,4,12.17,0.0
86,25,551,1,13.63,0.0
87,25,2838,1,56.18,0.0
88,25,1845,2,39.29,0.0
89,26,4747,3,31.7,0.08
90,26,3962,3,16.23,0.0
91,26,1538,1,31.47,0.0
92,26,3025,1,13.04,0.0
93,26,277,2,3.47,0.0
94,27,2079,1,37.84,0.0
95,27,1851,2,12.41,0.0
96,28,3506,1,20.19,0.24
97,28,123,3,14.11,0.21
98,28,1539,2,2190.73,0.18
99,28,4080,2,31.76,0.2
100,28,2867,2,28.09,0.0
101,29,3450,1,25.72,0.29
102,29,2340,2,11.35,0.21
103,29,1456,2,22.13,0.0
104,29,2766,1,1.95,0.0
105,29,2423,2,2.59,0.2
106,29,2146,1,9.45,0.0
107,29,2085,1,1.34,0.0
108,30,1226,3,6.21,0.0
109,30,4218,1,62.74,0.26
110,30,2175,2,62.3,0.0
111,30,3612,4,37.89,0.0
112,31,719,2,127.95,0.0
113,32,1228,1,25.5,0.0
114,32,2546,1,9.12,0.0
115,32,3388,1,116.04,0.0
116,32,4626,1,25.61,0.0
117,33,957,1,13.8,0.0
118,33,1243,1,39.82,0.0
119,33,3647,2,3.82,0.0
120,33,1829,2,55.73,0.0
121,34,21,1,44.86,0.0
122,34,1540,1,23.54,0.0
123,35,475,1,40.55,0.0
124,35,288,2,19.08,0.0
125,35,1493,1,2.11,0.0
126,35,3010,1,10.88,0.0
127,35,488,1,9.96,0.0
128,35,794,1,436.82,0.0
129,36,3786,3,83.72,0.0
130,36,3024,2,3.09,0.0
131,36,2736,3,18.17,0.0
132,36,1903,2,1.12,0.25
133,36,4201,1,33.08,0.0
134,36,3215,2,8.49,0.15
135,37,3209,1,80.34,0.07
136,37,4669,1,51.5,0.0
137,37,4523,3,17.43,0.0
138,38,4543,1,12.63,0.0
139,38,844,2,7.72,0.0
140,38,1233,1,55.27,0.0
141,38,1484,1,366.96,0.0
142,38,4304,3,51.99,0.33
143,38,4357,1,122.46,0.0
144,39,4378,1,122.64,0.36
145,39,3974,3,27.67,0.1
146,39,543,5,15.38,0.0
147,40,858,4,63.31,0.0
148,40,2042,1,17.31,0.12
149,40,2360,2,139.93,0.0
150,41,2795,4,4.86,0.0
151,41,1522,3,206.03,0.3
152,41,2085,1,1.18,0.27
153,41,4587,4,10.66,0.33
154,41,2190,3,1.1,0.0
155,42,1303,1,139.25,0.0
156,42,2184,2,45.7,0.0
157,42,488,2,10.4,0.0
158,42,4810,2,57.6,0.0
159,43,3977,3,36.12,0.14
160,43,1689,2,7.07,0.0
161,43,3904,5,21.44,0.0
162,43,55,1,4.46,0.0
163,44,619,1,38.19,0.0
164,44,2033,1,60.36,0.0
165,45,4500,2,137.64,0.0
166,45,292,1,1.18,0.0
167,45,2884,2,4.65,0.0
168,45,2121,2,22.3,0.0
169,46,4681,1,2.35,0.0
170,46,2318,4,38.66,0.0
171,46,4869,4,16.12,0.0
172,46,530,1,72.83,0.39
173,46,3175,2,14.75,0.0
174,47,2155,1,437.62,0.19
175,47,3004,2,4.19,0.27
176,47,2094,2,5.29,0.08
177,47,1935,1,2.86,0.0
178,48,1182,5,12.32,0.0
179,48,1570,2,16.94,0.0
180,48,2169,1,10.33,0.26
181,49,1770,2,14.13,0.33
182,49,1708,3,4.88,0.0
183,49,1924,1,20.56,0.24
184,49,1056,2,259.76,0.0
185,50,1120,1,33.56,0.0
186,50,1643,2,31.66,0.0
187,50,1998,1,29.08,0.0
188,50,1642,1,1.24,0.39
189,51,627,3,9.15,0.0
190,51,2771,2,11.06,0.0
191,51,3929,1,7.58,0.0
192,51,880,2,10.42,0.0
193,51,641,1,9.54,0.0
194,52,1079,1,181.17,0.0
195,52,292,2,1.32,0.13
196,52,381,3,7.07,0.32
197,52,1004,1,10.76,0.0
198,53,670,1,1.19,0.0
199,53,611,3,1.09,0.0
200,53,451,3,66.31,0.23
201,53,3227,1,18.0,0.0
202,53,1714,1,1814.78,0.0
203,54,255,2,8.18,0.0
204,54,4332,1,31.32,0.0
205,54,1493,1,2.1,0.0
206,55,1293,1,8.22,0.0
207,55,2698,1,40.78,0.0
208,56,162,4,19.48,0.0
209,56,2802,1,200.24,0.0
210,57,4725,2,10.05,0.22
211,57,4534,4,229.19,0.0
212,57,2068,1,473.03,0.2
213,57,3076,2,29.34,0.0
214,57,3646,2,19.49,0.0
215,57,2094,3,6.09,0.38
216,57,4463,1,10.61,0.0
217,58,1926,1,51.36,0.0
218,58,1415,1,5.68,0.0
219,58,551,2,10.78,0.0
220,58,3573,1,119.54,0.0
221,59,3098,1,17.88,0.0
222,59,1562,2,57.63,0.0
223,60,1075,4,45.34,0.08
224,60,2212,1,29.91,0.31
225,61,2144,1,49.59,0.0
226,61,4466,3,7.13,0.3
227,61,3877,1,51.34,0.0
228,61,4184,1,14.57,0.0
229,62,3855,1,6.61,0.0
230,63,920,2,4.57,0.0
231,63,2306,2,145.81,0.0
232,64,4262,2,20.3,0.0
233,64,3223,3,412.82,0.0
234,65,1135,1,57.58,0.17
235,65,2942,3,34.11,0.16
236,65,4401,1,5.17,0.3
237,66,3251,1,34.71,0.26
238,66,4681,4,2.34,0.35
239,66,2085,2,1.33,0.29
240,66,297,1,13.46,0.0
241,66,3367,1,6.18,0.0
242,66,3448,3,40.07,0.0
243,67,4424,2,51.55,0.0
244,67,2016,1,23.25,0.0
245,67,1994,2,60.36,0.32
246,67,381,1,6.1,0.0
247,68,2982,1,41.42,0.0
248,68,4588,1,45.58,0.0
249,69,3557,3,13.9,0.0
250,69,1096,1,26.07,0.0
251,69,1183,1,1.29,0.0
252,69,3618,2,37.4,0.0
253,69,889,2,5.93,0.39
254,69,3025,1,13.04,0.14
255,69,1273,1,87.0,0.32
256,69,3905,1,19.02,0.0
257,70,1851,2,11.56,0.2
258,70,4120,4,5.13,0.0
259,70,3945,1,55.15,0.0
260,71,2714,2,38.48,0.0
261,71,4471,2,22.12,0.0
262,71,3647,1,3.38,0.0
263,71,3657,1,20.61,0.09
264,71,1860,2,158.61,0.0
265,71,2759,1,11.06,0.0
266,72,2463,5,62.87,0.24
267,72,4774,1,72.97,0.0
268,73,4543,1,12.38,0.33
269,73,272,2,3.93,0.0
270,73,4981,2,39.48,0.26
271,73,1905,2,96.58,0.0
272,74,3654,1,3.35,0.0
273,74,2726,1,4.55,0.0
274,74,4699,2,125.89,0.0
275,75,997,1,6.89,0.09
276,75,1824,2,533.64,0.0
277,75,1935,3,2.87,0.0
278,76,324,3,19.61,0.0
279,76,3421,1,19.6,0.22
280,77,3684,1,19.16,0.09
281,77,1700,2,21.63,0.13
282,77,4524,1,11.02,0.0
283,77,1768,2,28.4,0.0
284,77,304,1,6.26,0.34
285,78,2794,1,18.51,0.05
286,78,4992,4,4.83,0.17
287,78,4160,1,150.36,0.0
288,78,272,2,3.68,0.21
289,78,76,3,13.54,0.0
290,78,3387,2,16.64,0.0
291,79,44,2,6.12,0.0
292,79,167,1,6.37,0.0
293,80,2622,1,2.83,0.0
294,80,3245,1,40.21,0.0
295,80,3787,2,57.03,0.05
296,81,1107,3,156.97,0.0
297,81,3901,1,284.86,0.0
298,81,2850,2,4.27,0.0
299,82,3231,1,15.96,0.0
300,82,2191,1,11.57,0.0
301,82,2151,1,26.72,0.0
302,82,4587,2,11.53,0.0
