product_id,product_category_name_english,销量,销售额,label
bb50f2e236e5eea0100680137654686c,health_beauty,195,67606.1,bb50f2e236e5...
d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,341,60597.29,d1c427060a0f...
6cdd53843498f92890544667809f1595,health_beauty,156,59093.99,6cdd53843498...
99a4788cb24856965c36a24e339b6058,bed_bath_table,487,50963.6,99a4788cb248...
d6160fb7873f184099d9bc95e30376af,computers,35,50326.18,d6160fb7873f...
3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,274,48212.22,3dd2a17168ec...
aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,527,44820.76,aca2eb7d00ea...
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,63,41725.81,5f504b3a1c75...
25c38557cf793876c5abdd5931f922db,baby,38,40311.95,25c38557cf79...
53b36df67ebb7c41585e8d54d6772e08,watches_gifts,323,39957.93,53b36df67ebb...
